Poisonous?,Cap_Shape,Cap_Surface,Cap_Color,Bruises,Odor,Gill_Attachment,Gill_Spacing,Gill_Size,Gill_Color,Stalk_Shape,Stalk_Root,Stalk_Surface_Above,Stalk_Surface_Below,Stalk_Color_Above,Stalk_Color_below,Veil_Color,Ring_Number,Ring_Type,Spore_Color,Population,Habitat
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
edible,convex,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,bell,smooth,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,urban
edible,convex,smooth,grey,no bruises,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,grey,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,numerous,meadows
edible,bell,scaly,white,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,grasses
edible,bell,smooth,yellow,bruises,almond,free,close,broad,grey,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,convex,scaly,yellow,bruises,anise,free,close,broad,grey,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,urban
edible,convex,fibrous,brown,no bruises,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,black,abundant,grasses
edible,sunken,fibrous,grey,no bruises,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,solitary,urban
edible,flat,fibrous,white,no bruises,none,free,crowded,broad,black,tapering,equal,smooth,smooth,white,white,white,one,evanescent,brown,abundant,grasses
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
edible,bell,smooth,yellow,bruises,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
edible,bell,scaly,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,bell,scaly,white,bruises,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,bell,smooth,white,bruises,anise,free,close,broad,grey,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
poisonous,flat,smooth,white,bruises,pungent,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,several,grasses
edible,convex,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,convex,scaly,white,bruises,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,flat,fibrous,brown,no bruises,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,solitary,urban
edible,convex,smooth,yellow,bruises,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
edible,bell,smooth,yellow,bruises,anise,free,close,broad,grey,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
edible,convex,scaly,brown,bruises,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,paths
edible,bell,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,meadows
edible,convex,fibrous,yellow,bruises,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
edible,sunken,fibrous,grey,no bruises,none,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
poisonous,convex,scaly,brown,bruises,pungent,free,close,narrow,white,enlarging,equal,smooth,smooth,white,white,white,one,pendant,brown,scattered,urban
edible,convex,fibrous,yellow,bruises,almond,free,crowded,narrow,pink,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,brown,several,woods
edible,bell,smooth,yellow,bruises,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,meadows
edible,bell,scaly,yellow,bruises,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,scattered,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
edible,convex,fibrous,brown,no bruises,none,free,close,narrow,grey,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,solitary,urban
